Relationales Schema,,,
Entity,Schlüsselattribut,Weitere Attribute,
Event,EventID: number,EventTitle* : string,
,,EventType : string,
,,PressText : string,
,,Description : string,
,,PreOrderPrice: decimal,
,,AudioDescription : string,
,,LightDescription : string,
EventDay,EventDate : date,EventTime* : datetime,
,,EventDuration : decimal,
,,AdmissionTime : datetime,
,,KitchenTime : datetime,
,,WorkBegin : datetime,
,,VolunteersNeeded : number,
Management,Username : string,Passwort* : string,
,,Email* : string,
Volunteer,Identifier : string,Name* : string,
,,Email : string,
,,Address : string,
,,TelNumber : string,
Team,TeamName : string,,
Act,ActName : string,ActFood : string,
,,PersonCount : number,
,,MusicExample : blob,
,,,
Relation,Schlüsselattribut,Weitere Attribute,Typ
has -> EventDay,EventID: number,EventTime* : datetime,1 : n
,EventDate : date,EventDuration : decimal,
,,AdmissionTime : datetime,
,,KitchenTime : datetime,
,,WorkBegin : datetime,
,,VolunteersNeeded : number,
manage -> Responsibility,Username : string,,n : m
,EventID: number,,
helps -> Help,Identifier : string,HelpType : string,n : m
,EventDate : date,Commitment : string,
partOf -> Volunteer_Team,Identifier : string,,n : m
,TeamName : string,,
perform -> Event_Act,ActName : string,,n : m
,EventID: number,,